id,texture,rs,mvol,mwp,mwplog,bd,porosity,clay,silt,sand,org,ra,ra_s1
Valentine,Sand,0.1,0.05,233.89,2.37,1.35,0.49,0.03,0.07,0.9,0.009,0.77,0.77
Valentine,Sand,0.28,0.14,51.11,1.71,1.35,0.49,0.03,0.07,0.9,0.009,0.93,0.93
Valentine,Sand,0.46,0.22,32.64,1.51,1.35,0.49,0.03,0.07,0.9,0.009,1,1
Valentine,Sand,0.62,0.3,21.94,1.34,1.35,0.49,0.03,0.07,0.9,0.009,0.88,0.88
Valentine,Sand,0.78,0.38,7.62,0.88,1.35,0.49,0.03,0.07,0.9,0.009,0.49,0.49
wet_mid,Sandyloam,0.17,0.14,400,2.6,0.46,0.859,0.04,0.32,0.64,0.126,0.61,0.61
wet_mid,Sandyloam,0.2,0.18,250,2.4,0.46,0.859,0.04,0.32,0.64,0.126,0.5,0.5
wet_mid,Sandyloam,0.21,0.18,100,2,0.46,0.859,0.04,0.32,0.64,0.126,0.73,0.73
wet_mid,Sandyloam,0.22,0.19,30,1.48,0.46,0.859,0.04,0.32,0.64,0.126,0.98,1
wet_mid,Sandyloam,0.28,0.24,10,1,0.46,0.859,0.04,0.32,0.64,0.126,0.97,0.97
dry_top,Sandyloam,0.24,0.19,400,2.6,0.89,0.779,0.05,0.28,0.67,0.057,0.55,0.55
dry_top,Sandyloam,0.28,0.22,250,2.4,0.89,0.779,0.05,0.28,0.67,0.057,0.52,0.52
dry_top,Sandyloam,0.33,0.25,100,2,0.89,0.779,0.05,0.28,0.67,0.057,0.59,0.59
dry_top,Sandyloam,0.34,0.27,30,1.48,0.89,0.779,0.05,0.28,0.67,0.057,0.77,0.77
dry_top,Sandyloam,0.35,0.27,10,1,0.89,0.779,0.05,0.28,0.67,0.057,1,1
Int_mid,Sandyloam,0.17,0.12,400,2.6,1.04,0.709,0.05,0.31,0.64,0.032,0.71,0.71
Int_mid,Sandyloam,0.21,0.15,250,2.4,1.04,0.709,0.05,0.31,0.64,0.032,0.71,0.71
Int_mid,Sandyloam,0.25,0.18,100,2,1.04,0.709,0.05,0.31,0.64,0.032,0.84,0.84
Int_mid,Sandyloam,0.26,0.19,30,1.48,1.04,0.709,0.05,0.31,0.64,0.032,0.98,0.98
Int_mid,Sandyloam,0.28,0.2,10,1,1.04,0.709,0.05,0.31,0.64,0.032,0.99,1
wet_btm,Sandyloam,0.12,0.1,400,2.6,0.54,0.866,0.05,0.25,0.73,0.103,0.93,0.93
wet_btm,Sandyloam,0.14,0.12,250,2.4,0.54,0.866,0.05,0.25,0.73,0.103,0.93,0.93
wet_btm,Sandyloam,0.16,0.14,100,2,0.54,0.866,0.05,0.25,0.73,0.103,0.78,0.78
wet_btm,Sandyloam,0.17,0.15,30,1.48,0.54,0.866,0.05,0.25,0.73,0.103,1,1
wet_btm,Sandyloam,0.2,0.17,10,1,0.54,0.866,0.05,0.25,0.73,0.103,0.75,0.75
Int_top,Sandyloam,0.21,0.17,400,2.6,0.51,0.817,0.06,0.23,0.71,0.104,0.6,0.6
Int_top,Sandyloam,0.23,0.19,250,2.4,0.51,0.817,0.06,0.23,0.71,0.104,0.47,0.47
Int_top,Sandyloam,0.27,0.22,100,2,0.51,0.817,0.06,0.23,0.71,0.104,0.66,0.66
Int_top,Sandyloam,0.29,0.24,30,1.48,0.51,0.817,0.06,0.23,0.71,0.104,0.99,0.99
Int_top,Sandyloam,0.31,0.25,10,1,0.51,0.817,0.06,0.23,0.71,0.104,1,1
Int_btm,Sandyloam,0.15,0.1,400,2.6,1.25,0.695,0.07,0.32,0.61,0.023,0.74,0.74
Int_btm,Sandyloam,0.17,0.12,250,2.4,1.25,0.695,0.07,0.32,0.61,0.023,0.53,0.53
Int_btm,Sandyloam,0.21,0.14,100,2,1.25,0.695,0.07,0.32,0.61,0.023,0.71,0.71
Int_btm,Sandyloam,0.22,0.15,30,1.48,1.25,0.695,0.07,0.32,0.61,0.023,0.99,1
Int_btm,Sandyloam,0.24,0.16,10,1,1.25,0.695,0.07,0.32,0.61,0.023,0.92,0.92
dry_btm,Sandyloam,0.22,0.13,400,2.6,1.56,0.603,0.09,0.26,0.65,0.025,0.65,0.65
dry_btm,Sandyloam,0.24,0.14,250,2.4,1.56,0.603,0.09,0.26,0.65,0.025,0.54,0.54
dry_btm,Sandyloam,0.26,0.16,100,2,1.56,0.603,0.09,0.26,0.65,0.025,0.61,0.61
dry_btm,Sandyloam,0.28,0.17,30,1.48,1.56,0.603,0.09,0.26,0.65,0.025,0.84,0.84
dry_btm,Sandyloam,0.28,0.17,10,1,1.56,0.603,0.09,0.26,0.65,0.025,1,1
Min1c,Loamysand,0.08,0.038,3025.52,3.481,1.359,0.48,0.09,0.09,0.82,0.014,0.41,0.41
Min1c,Loamysand,0.23,0.104,539.96,2.732,1.441,0.45,0.09,0.09,0.82,0.014,0.57,0.57
Min1c,Loamysand,0.45,0.183,23,1.362,1.577,0.4,0.09,0.09,0.82,0.014,0.65,0.65
Min1c,Loamysand,0.47,0.211,13.48,1.13,1.462,0.44,0.09,0.09,0.82,0.014,0.77,0.77
Min1c,Loamysand,0.55,0.251,6.72,0.827,1.445,0.45,0.09,0.09,0.82,0.014,0.83,0.83
Min1c,Loamysand,0.65,0.294,4.53,0.656,1.454,0.45,0.09,0.09,0.82,0.014,1,1
Min1c,Loamysand,0.76,0.35,3.35,0.525,1.425,0.46,0.09,0.09,0.82,0.014,0.78,0.78
Min1c,Loamysand,0.76,0.382,1.58,0.199,1.316,0.5,0.09,0.09,0.82,0.014,0.78,0.78
Min1,Loamysand,0.14,0.064,2798.47,3.447,1.397,0.47,0.09,0.09,0.82,0.014,0.51,0.51
Min1,Loamysand,0.28,0.146,25.33,1.404,1.279,0.51,0.09,0.09,0.82,0.014,0.89,0.89
Min1,Loamysand,0.49,0.243,5.8,0.763,1.337,0.49,0.09,0.09,0.82,0.014,0.8,0.8
Min1,Loamysand,0.58,0.296,4.19,0.622,1.299,0.5,0.09,0.09,0.82,0.014,1,1
Min1,Loamysand,0.69,0.355,2.46,0.391,1.295,0.51,0.09,0.09,0.82,0.014,0.98,0.98
Min1,Loamysand,0.72,0.389,1.42,0.152,1.217,0.54,0.09,0.09,0.82,0.014,0.97,0.97
Min1,Loamysand,0.81,0.454,1.9,0.279,1.171,0.55,0.09,0.09,0.82,0.014,0.94,0.94
Min1,Loamysand,0.9,0.515,0.89,-0.051,1.129,0.57,0.09,0.09,0.82,0.014,0.73,0.73
CloMin1c,Loamysand,0.07,0.036,5982.15,3.777,1.276,0.51,0.1,0.125,0.775,0.014,0.55,0.591
CloMin1c,Loamysand,0.19,0.096,525.97,2.721,1.33,0.49,0.1,0.125,0.775,0.014,0.53,0.57
CloMin1c,Loamysand,0.29,0.15,52.62,1.721,1.295,0.51,0.1,0.125,0.775,0.014,0.8,0.86
CloMin1c,Loamysand,0.45,0.206,16.21,1.21,1.429,0.45,0.1,0.125,0.775,0.014,0.87,0.935
CloMin1c,Loamysand,0.51,0.242,8.59,0.934,1.393,0.47,0.1,0.125,0.775,0.014,0.9,0.968
CloMin1c,Loamysand,0.63,0.289,5.09,0.707,1.429,0.45,0.1,0.125,0.775,0.014,0.88,0.946
CloMin1c,Loamysand,0.85,0.369,3.73,0.572,1.502,0.43,0.1,0.125,0.775,0.014,0.64,0.688
CloMin1c,Loamysand,0.81,0.394,1.76,0.246,1.359,0.48,0.1,0.125,0.775,0.014,0.93,1
CloMin1,Loamysand,0.1,0.056,2503.14,3.398,1.217,0.54,0.1,0.125,0.775,0.014,0.31,0.31
